;;;;;;;;;;;;;;;;;;;;;;;;;;;ZSCM015;ZSCM015;ZSCM015;ZSCM104;ZSCM104;ZSCM104;;0;Customer FCST;Customer FCST;Customer FCST;;;;;;;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;;;;;;;;;;
304 / 304L;1.4307;0.5;;-0.03;0.01;N14740;-0.07;0.07;14.35;Slit;SKP/TL;N;0;Zoppas Industries Romania S.R.L;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;;;;;;;;;0;;;X;;;;AST;Sophie;Judith
304 / 304L;1.4307;0.5;;-0.03;0.01;N16695;-0.07;0.07;11.25;Slit;SKP/TL;N;0;NDB LOGISTICA;Y;;;21931;7712;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;AST;Sophie ;Judith
304 / 304L;1.4307;0.5;;-0.03;0.01;N16695;-0.07;0.07;11.25;Slit;SKP/TL;N;0;Zoppas Industries Romania S.R.L;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;AST;Sophie;Judith
;1.4307;0.5;;;;;;;;;;;0;;;;;49194;36830;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;18;0;0;0;0;0;0;18;0;0;0;0;0;0;19.08;-1.08;;;;;;;
304 / 304L;1.4301;0.5;"N1134A
EUR1
(-0.025/+0.02)";-0.045;0.045;N1134A;-1.5;0;1000;Slit;SKP/TL;N;0;PG Germany GmbH;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;72;0;0;0;0;0;-72;58.62;13.38;;X;;;;Sophie ;Margarita
304 / 304L;1.4301;0.5;;-0.04;0.02;N11782;-0.08;0.08;14.8;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4301;0.5;;-0.04;0.02;N12150;-0.08;0.08;19;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4301;0.5;;-0.025;0.025;N1430;-0.05;0.05;22.35;Slit;SKP/TL;N;BACKER BHV AB;BACKER BHV AB;;;;0;0;3031;0;0;0;0;3000;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;;;;Sophie;Erika
304 / 304L;1.4301;0.5;;-0.025;0.025;N14496;-0.05;0.05;49;Slit;SKP/TL;N;BACKER BHV AB;BACKER BHV AB;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;;;;Sophie;Erika
304 / 304L;1.4301;0.5;;-0.04;0.02;N15604;-0.08;0.08;24.3;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;18;;;;;0;0;0;0;0;0;0;0;18;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4301;0.5;;-0.04;0.02;N15809;-0.08;0.08;17.6;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4301;0.5;;-0.05;0.05;N16162;0;0.3;120;Slit;SKP/TL;N;BADE UND RINSCHEID;BADE UND RINSCHEID;;;;9665;8816;0;10521;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Frank;Merlin
304 / 304L;1.4301;0.5;;-0.04;0.02;N16359;-0.08;0.08;49.3;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4301;0.5;;-0.04;0.02;N16360;-0.08;0.08;30.5;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4301;0.5;;-0.03;0.03;N16539;-0.25;0;60;Slit;SKP/TL;N;0;Elektrotermija d.o.o.;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;EU;Sophie ;Erika
304 / 304L;1.4301;0.5;;-0.025;0.025;N16945;-0.05;0.05;49.1;Slit;SKP/TL;N;Backer OBR SP Z.O.O;Backer OBR Sp.z o.o.;;;;0;0;0;2712;6916;0;0;0;0;0;0;0;;;;#REF!;0;;;;;18;;;;;0;0;0;0;0;0;0;0;18;0;;x;;X;;;Sophie;Erika
304 / 304L;1.4301;0.5;;-0.025;0.025;N16946;-0.05;0.05;55.4;Slit;SKP/TL;N;Backer OBR SP Z.O.O;Backer OBR Sp.z o.o.;;;;0;0;0;0;395;2500;0;0;0;0;0;0;;;;#REF!;0;;;;;36;;;;;0;0;0;0;0;0;0;0;36;0;;x;;X;;;Sophie;Erika
304 / 304L;1.4301;0.5;;-0.025;0.025;N1826;-0.05;0.05;30.2;Slit;SKP/TL;N;LOVAL OY;LOVAL OY;;;;5118;0;9022;0;10023;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;;Sophie ;Erika
304 / 304L;1.4301;0.5;;-0.025;0.025;N3526;-0.05;0.05;30.2;Slit;SKP/TL;N;BACKER BHV AB;BACKER BHV AB;;;;0;0;2531;1838;0;4000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;;;;Sophie;Erika
304 / 304L;1.4301;0.5;;-0.025;0.025;N3526;-0.05;0.05;30.2;Slit;SKP/TL;N;Backer Elektro CZ a.s.;Backer Elektro CZ a.s.;;;;0;0;2418;2261;0;3000;3000;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;;;;Sophie;Erika
304 / 304L;1.4301;0.5;;-0.025;0.025;N3526;-0.05;0.05;30.2;Slit;SKP/TL;N;Backer OBR SP Z.O.O;Backer OBR Sp.z o.o.;;;;0;1190;6810;9847;0;7000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;X;;;Sophie;Erika
304 / 304L;1.4301;0.5;;-0.04;0.02;N4181;-0.08;0.08;49.3;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4301;0.5;;-0.03;0.03;N5198A;0;0.4;255;Slit;SKP/TL;N;BRUGG Rohrsysteme GmbH;BRUGG Rohrsysteme GmbH;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;;;;Dejan;Pano
304 / 304L;1.4301;0.5;;-0.04;0.02;N5437;-0.08;0.08;56.2;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4301;0.5;;-0.04;0.02;N7569;-0.08;0.08;24.3;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4301;0.5;;-0.04;0.02;N7708;-0.08;0.08;30.5;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4301;0.5;;-0.04;0.02;N7710;-0.08;0.08;43.3;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4301;0.5;;-0.04;0.02;N8604;-0.08;0.08;37.3;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4301;0.5;;-0.04;0.02;N8685;-0.08;0.08;29;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4301;0.5;;-0.03;0.03;N9530;0;0.4;211;Slit;SKP/TL;N;BRUGG Rohrsysteme GmbH;BRUGG Rohrsysteme GmbH;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;;;;Dejan;Pano
304 / 304L;1.4301;0.5;;-0.04;0.02;N9971;-0.08;0.08;17.6;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4301;0.5;;-0.04;0.02;N9972;-0.08;0.08;21.2;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4301;0.5;;-0.04;0.02;N9973;-0.08;0.08;33.9;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
;1.4301;0.5;;;;;;;;;;;0;;;;;14783;10006;23812;27179;17334;16500;3000;3000;0;0;0;0;;;;;0;;;;;72;0;0;0;0;0;0;72;0;0;0;0;0;0;58.62;13.38;;;;;;;
304 / 304L;1.4307;0.5;"N6164A
(-0.025/+0.02) EUR1";-0.04;0.02;N11176;-0.08;0.08;29;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N11350 TBA;;;1270;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;15000;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N11676;-0.08;0.08;48.7;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;18;;;;;0;0;0;0;0;0;0;0;18;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N12217;-0.08;0.08;27.4;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;18;;;;0;0;0;0;0;0;0;0;18;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N12548;-0.08;0.08;59.4;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;28521;15325;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;18;;;;;0;0;0;0;0;0;0;0;18;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N12593;-0.08;0.08;36.5;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;7130;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N14738;-0.08;0.08;39.3;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;4985;0;0;6795;8000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N14817;-0.08;0.08;17.6;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;6946;4976;0;6424;4838;3000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N15290;-0.08;0.08;24.3;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N15438;-0.08;0.08;19;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;2849;0;0;2391;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;18;;;;0;0;0;0;0;0;0;0;18;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N15536;-0.08;0.08;24.3;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;9712;9741;0;0;8324;20000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N16319;-0.08;0.08;30.5;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;5126;5360;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N16377;0;0.6;1000;Slit;SKP/TL;N;0;TAD INOX Service GmbH;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;;Dejan;Livio
304 / 304L;1.4307;0.5;;-0.04;0.02;N16390;-0.08;0.08;29;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;18;;;;0;0;0;0;0;0;0;0;18;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N16768;-0.08;0.08;33.9;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;5166;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N16899;-0.08;0.08;21.2;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;0;0;0;4000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;18;;;;0;0;0;0;0;0;0;0;18;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N3529;-0.08;0.08;49.3;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;14716;0;2518;5077;0;0;0;0;0;0;0;;;;#REF!;0;;;;;72;;;;;0;0;0;0;0;0;0;0;72;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.025;0.025;N6164A;-40;20;1270;Mill;SKP/TL;N;Norder Band AG;Norder Band AG.;Y;;;17986;18500;0;0;42449;0;0;0;0;0;0;0;;;;#REF!;0;;;;;36;36;-108;;;0;0;198;0;0;0;0;0;-234;229.83;-31.83;;X;;X;EU;Sophie ;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N8646;-0.08;0.08;46.4;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;22664;23549;10936;0;0;0;0;0;0;0;;;;#REF!;0;;;;;54;;;;;0;0;0;0;0;0;0;0;54;0;;;X ;X;X;EU;James;Margarita
304 / 304L;1.4307;0.5;;-0.04;0.02;N8647;-0.08;0.08;37;Slit;SKP/TL;N;CSM Tube Spa;CSM Tube Spa;;;;0;0;5153;0;0;5000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X ;X;X;EU;James;Margarita
;1.4307;0.5;;;;;;;;;;;0;;;;;47785;58278;63468;50207;78419;40000;15000;0;0;0;0;0;;;;;0;;;;;198;108;-108;0;0;0;0;198;0;0;0;0;0;0;229.83;-31.83;;;;;;;
304 / 304L;1.4301;0.5;N1761;-0.02;0.02;N15897;-0.05;0.05;7;Slit;SKP/TL;N;Backer Elektro CZ a.s.;Backer Elektro CZ a.s.;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;;;;Sophie;Erika
304 / 304L;1.4301;0.5;;-0.02;0.02;N16627;0;0.15;39.8;Deburred;SKP/TL;N;Cappeller S.p.a. SB;Cappeller S.p.a. SB;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Frank;Sergius
304 / 304L;1.4301;0.5;;-0.02;0.02;N1761;0;0.5;500;Slit;SKP/TL;N;FEDERAL MOGUL SEALING SYSTEMS GMBH;Brucherseifer Transport+Logistik Gm;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;X ;;;Michael;Manfred
;1.4301;0.5;;;;;;;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
304 / 304L;1.4307;0.5;N16419;-0.02;0.02;N14018;0;0.15;43.8;Deburred;SKP/TL;N;Cappeller S.p.a. SB;Cappeller S.p.a. SB;;;;0;3331;0;0;0;3500;0;3000;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Frank;Sergius
304 / 304L;1.4307;0.5;;-0.02;0.02;N16046;0;0.15;38.3;Deburred;SKP/TL;N;Cappeller S.p.a. SB;Cappeller S.p.a. SB;;;;0;0;0;0;0;1000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Frank;Sergius
304 / 304L;1.4307;0.5;;-0.02;0.02;N16419;0;0.5;1230;Slit;SKP/TL;N;0;TAD INOX Service GmbH;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;;Dejan;Livio
304 / 304L;1.4307;0.5;;-0.02;0.02;N16613;0;0.15;39.8;Deburred;SKP/TL;N;Cappeller S.p.a. SB;Cappeller S.p.a. SB;;;;0;506;0;0;0;2000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Frank;Sergius
;1.4307;0.5;;;;;;;;;;;0;;;;;0;3837;0;0;0;6500;0;3000;0;0;0;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
304 / 304L;1.4301;0.5;N10625                             (-0.02/ +0.02);-0.023;0.023;N0811;-0.2;0;187;Slit;TL;N;Areco Industry AB;TitanX Engine Cooling AB;;;;0;10465;2028;2772;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X;;;;Sophie;Judith
304 / 304L;1.4301;0.5;;-0.025;0.025;N10625;-0.3;0.3;388;Slit;TL;Y;DANFOSS SRL;Danfoss SRL;;;;0;0;0;1092;3647;0;2500;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;72;0;0;0;18;-90;77.19;12.81;X;;;X;EU;Dejan;Angela
304 / 304L;1.4301;0.5;;-0.02;0.02;N11025;0;0.5;347;Slit;TL;N;Koelle GmbH;Koelle GmbH;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;18;;;;0;0;0;0;0;0;0;0;18;0;;;;;;;Florian;Grace
304 / 304L;1.4301;0.5;;-0.02;0.02;N12850;0;0.5;370;Slit;TL;N;Koelle GmbH;Koelle GmbH;;;;12861;7677;20011;20562;16941;20000;0;20000;0;0;0;0;;;;#REF!;0;;;;;18;;;;;0;0;0;0;0;0;0;0;18;0;;;;;;;Florian;Grace
304 / 304L;1.4301;0.5;;-0.025;0.025;N13202;-0.5;0.5;762;Slit;TL;Y;DANFOSS SRL;Danfoss SRL;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;X;EU;Dejan;Angela
304 / 304L;1.4301;0.5;;-0.03;0.03;N14784;0;0.25;82;Slit;TL;Y;Danfoss Trata d.o.o;Danfoss Kamnik;;;;0;0;3332;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;X;;EU;Dejan;Angela
304 / 304L;1.4301;0.5;;-0.025;0.025;N1500;-0.3;0.3;383;Slit;TL;Y;DANFOSS SRL;Danfoss SRL;;;;0;2882;0;2191;0;2500;2500;0;0;0;0;0;;;;#REF!;0;;;;;0;36;;;;0;0;0;0;0;0;0;0;36;0;;X;;;X;EU;Dejan;Angela
304 / 304L;1.4301;0.5;;-0.028;0.028;N1559;-0.2;0;189.4;Slit;TL;N;Areco Industry AB;TitanX Engine Cooling AB;;;;55790;42795;80352;41157;91279;70000;85000;20000;50000;30000;0;0;;;;#REF!;0;;;;;54;;;;;0;0;0;0;0;0;0;0;54;0;;;X;;;;Sophie;Judith
304 / 304L;1.4301;0.5;;-0.025;0.025;N16503;-0.5;0.5;986;Slit;TL;Y;Danfoss A/S;Danfoss A/S;;;;0;0;0;0;0;0;23500;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;EU;Dejan;Angela
304 / 304L;1.4301;0.5;;-0.025;0.025;N6868;-0.5;0.5;872;Slit;TL;Y;Danfoss A/S;Danfoss A/S;;;;12062;2842;17977;0;33474;0;10000;11000;12000;0;0;0;;;;#REF!;0;;;;;0;;;18;;0;0;0;0;0;0;0;0;18;0;;X;;;;EU;Dejan;Angela
304 / 304L;1.4301;0.5;;-0.02;0.02;N16689;0;0.4;376;Slit;TL;N;Koelle GmbH;Koelle GmbH;;;;0;3801;0;3929;0;0;3500;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Florian;Grace
304 / 304L;1.4301;0.5;;-0.028;0.028;N2917;-0.2;0;174;Slit;TL;N;Areco Industry AB;TitanX Engine Cooling AB;;;;4780;0;4148;5868;0;0;5000;0;5000;5000;0;0;;;;#REF!;0;;;;;0;18;;;;0;0;0;0;0;0;0;0;18;0;;;X;;;;Sophie;Judith
304 / 304L;1.4301;0.5;;-0.04;0.004;N5399;-0.3;0.3;660;Slit;TL;Y;Danfoss A/S;Danfoss A/S;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;18;;;;;0;126;0;0;0;0;0;0;-108;170.59;-44.59;X;;;;EU;Dejan;Angela
304 / 304L;1.4301;0.5;;-0.025;0.025;N5399A;-0.3;0.3;660;Slit;TL;Y;Danfoss A/S;Danfoss A/S;;;;21723;12384;18605;9632;6925;0;0;0;0;0;0;0;;;;#REF!;0;;;;;18;;;;;0;0;0;0;0;0;0;0;18;0;;X;;;X;EU;Dejan;Angela
304 / 304L;1.4301;0.5;;-0.025;0.025;N5878;-0.3;0.3;502;Slit;TL;Y;Danfoss A/S;Danfoss A/S;;;;0;6411;9655;8515;0;0;3000;0;5000;0;0;0;;;;#REF!;0;;;;;18;;;;;0;0;0;0;0;0;0;0;18;0;;X;;;;EU;Dejan;Angela
304 / 304L;1.4301;0.5;;-0.025;0.025;N5878;-0.3;0.3;502;Slit;TL;Y;DANFOSS SRL;Danfoss SRL;;;;1746;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;X;EU;Dejan;Angela
304 / 304L;1.4301;0.5;;-0.02;0.02;N9776;0;0.17;119;Slit;TL;N;Koelle GmbH;Koelle GmbH;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Florian;Grace
304 / 304L;1.4301;0.5;;-0.02;0.02;N9791;0;0.17;110;Slit;TL;N;Koelle GmbH;Koelle GmbH;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Florian;Grace
;1.4301;0.5;;;;;;;;;;;0;;;;;108962;89257;156108;95718;152266;92500;135000;51000;72000;35000;0;0;;;;;0;;;;;126;72;0;18;0;0;126;0;72;0;0;0;18;0;247.78;-31.78;;;;;;;
304 / 304L;1.4307;0.5;N16447;-0.025;0.025;N16337;-0.3;0.3;383;Slit;TL;Y;DANFOSS SRL;Danfoss SRL;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;X;EU;Dejan;Angela
304 / 304L;1.4307;0.5;;-0.025;0.025;N16447;-0.5;0.5;872;Slit;TL;Y;Danfoss A/S;Danfoss A/S;;;;0;20521;108832;114145;31265;4000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;18;;0;0;0;0;0;0;0;18;0;19.1;-1.1;X;;;;EU;Dejan;Angela
304 / 304L;1.4307;0.5;;-0.025;0.025;N16551;-0.3;0.3;308;Slit;TL;Y;DANFOSS SRL;Danfoss SRL;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;X;EU;Dejan;Angela
304 / 304L;1.4307;0.5;;-0.025;0.025;N16552;-0.3;0.3;502;Slit;TL;Y;DANFOSS SRL;Danfoss SRL;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;X;EU;Dejan;Angela
