;;;;;;;;;;;;;;;;;;;;;;;;;;;ZSCM015;ZSCM015;ZSCM015;ZSCM104;ZSCM104;ZSCM104;;0;Customer FCST;Customer FCST;Customer FCST;;;;;;;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;;;;;;;;;;
304 / 304L;1.4301;0.295;N16748;-0.015;0.015;N14585;-0.15;0.15;125;Slit;TL;Y;Alfa Laval Technologies AB;Alfa Laval Technologies AB;y;;;0;9228;31465;0;0;19000;9000;0;0;0;0;0;;;;#REF!;0;;;;;18;18;;;;0;0;0;0;0;0;0;0;36;0;;x;;x;;AST + Outokumpu;James;Pano
304 / 304L;1.4301;0.295;;-0.015;0.015;N16748;-0.15;0.15;300;Slit;TL;Y;Alfa Laval SpA;Alfa Laval SpA;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;;;x;;x;;AST +  Outokumpu;James;Pano
304 / 304L;1.4301;0.295;;-0.015;0.015;N16748;-0.15;0.15;300;Slit;TL;Y;Alfa Laval SpA;Pulvini S.R.L.;y;;;0;2075;10911;0;0;8368;10000;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;18;0;0;18;0;0;0;0;-36;38.77;-2.77;x;;x;;AST + Outokumpu;James ;Pano
;1.4301;0.295;;;;;;;;;;;0;;;;;0;11303;42376;0;0;27368;19000;0;0;0;0;0;;;;;0;;;;;18;18;0;0;0;18;0;0;18;0;0;0;0;0;38.77;-2.77;;;;;;;
304 / 304L;1.4301;0.3;N0740A;-0.01;0.01;N0740A;0;0.15;110;Slit;TL;N;ELRING KLINGER AG;ElringKlinger AG;N;;N1093A;0;0;2164;0;0;0;0;1000;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;X;;;Frank;Merlin
304 / 304L;1.4301;0.3;;-0.012;0.012;N1093A;0;0.17;130;Slit;TL;N;ELRING KLINGER AG;ElringKlinger AG;N;;N0740A;0;0;0;702;0;0;1000;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;X;;;Frank;Merlin
;1.4301;0.3;;;;;;;;;;;0;;;;;0;0;2164;702;0;0;1000;1000;0;0;0;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
304 / 304L;1.4301;0.3;N10975;-0.018;0.005;N10975;-0.2;0;127.4;Slit;SKP;Y;Kelvion Brazed PHE GmbH;Kelvion Brazed PHE GmbH;N;;N6808;0;0;1104;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;x;X;;Sophie;Erika
304 / 304L;1.4301;0.3;;-0.018;0.005;N6808;-0.2;0;136;Slit;SKP;Y;Kelvion Brazed PHE GmbH;Kelvion Brazed PHE GmbH;N;;N10975;0;0;0;4101;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;x;X;;Sophie;Erika
;1.4301;0.3;;;;;;;;;;;0;;;;;0;0;1104;4101;0;0;0;0;0;0;0;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
