;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZSCM015;ZSCM015;ZSCM015;ZSCM104;ZSCM104;ZSCM104;;8758.666667;Customer FCST;Customer FCST;Customer FCST;PIC FCST;;;;2026-07;;;;;;;;;;;;
;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;result;;;;;;;;;;;2026-02;2026-07;;;;;18;0;0;0;0;0;18;0;0;;;;;;;
Grade (ASTM);Grade (EN);Thickness (mm);Group n-code;Thickness tolerance - (mm);Thickness tolerance + (mm);Covers N-codes;TS min (MPA);TS Max (MPA);Width (mm);Edge;Surface;Cold reduction max. (Y/N);"Customer 
(Sold-to)";"Customer 
(ship-to)";Produced alone (Y/N);Combined with N-code;Ø monthly mt N-code;Ø monthly mt APC N-code ;3 month quantity (kg);2025-1;2025-2;2025-3;2025-4;2025-5;2025-6;2025-7;2025-8;2025-9;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;2026-08;2026-09;2026-10;2026-11;2026-12;2026-10;2026-11;2026-12;"Frequency
(#)";"Ø 6 months
(kg/month)";2026-10;2026-11;2026-12;Q4 Expect;"June.26
James
Preparation quantity
(mt)";;;"JUL
Irinel 
JUL Production
Plan quantity";;;"24th JUN
Orer Balance
Quantity (mt)";"24th JUN
Produced Quantity (mt)";"24th JUN
Production Balance Quantity (mt)";PO short;PO long;FC client;TBA/ mothercoil  ;Request for origin;External PIC;Internal PIC
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;B;C;D;E;F;G=(A+B+C)-(D+E+F);H;I=(D+E+F)-H;;;;;;;
305;1.4303;0.6;;-0.015;0.015;N7322;;;70;;2R;;J.C. Koenig Stiftung & Co. KG;J.C. Koenig Stiftung & Co. KG;;;;;0;;;;;;;;;;;;;0;1096;0;0;0;1000;0;0;0;0;0;0;;;;2;349.3333333;;;;2000;;;;0;0;0;0;0;;;;;;;Patrick;Adrian
305;1.4303;0.6;;-0.02;0.02;N17477;;;86;;2R;;STUEKEN LLC;STUEKEN LLC;;;;;0;;;;;;;;;;;;;0;0;4338;0;0;0;0;0;0;0;0;0;;;;1;723;;;;2000;;;;0;0;0;0;0;;;;;;;Patrick;Jessica
305;1.4303;0.6;;-0.02;0.02;N17595;;;61;;2R;;Press Teck S.p.A.;Press Teck S.p.A.;;;;;0;;;;;;;;;;;;;0;0;0;0;3712;4000;0;0;0;0;0;0;;;;2;1285.333333;;;;4000;;;;0;0;0;0;0;0;;;;;;Frank G.;Sergius
;1.4303;0.6;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7575;20565;0;3712;5000;0;0;16000;0;0;0;;;;;6142;;;;26000;18;0;0;0;0;0;18;0;0;;;;;;;
305;1.4303;0.65;N15793(-0.015/+0.015);-0.02;0.02;N15793;;;84;;2R;;Press Teck S.p.A.;Press Teck S.p.A.;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;4000;;;;0;0;0;0;0;;;;;;;Frank G.;Sergius
305;1.4303;0.65;;-0.015;0.015;N9575;;;32;;2R;;HUBERT STUEKEN GMBH & CO. KG;Hubert Stueken GmbH & Co. KG;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;in clarification;;;;0;0;0;0;0;;;;;;;Patrick;Christian
305;1.4303;0.65;;-0.015;0.015;N17551;;;18.4;;2R;;STUEKEN LLC;STUEKEN LLC;;;;;0;;;;;;;;;;;;;0;0;0;16200;0;0;0;0;18000;0;0;0;;;;1;2700;;;;16000;18;;;0;0;0;18;0;;;;;;;Patrick;Jessica
305;1.4303;0.65;;-0.015;0.015;N17178;;;18.4;;2R;;HUBERT STUEKEN GMBH & CO. KG;Hubert Stueken GmbH & Co. KG;;;;;;;;;;;;;;;;;;9285;0;0;0;8265;10000;0;0;0;0;0;0;;;;2;3044.166667;;;;15000;18;;;;;;;;;;;;;;Patrick;Christian
305;1.4303;0.65;;-0.02;0.02;N17391;;;72;;2R;;Press Teck S.p.A.;Press Teck S.p.A.;;;;;0;;;;;;;;;;;;;5043;0;0;8178;1960;0;0;6000;4000;0;0;0;;;;2;1689.666667;;;;3000;;;;0;0;0;0;0;;;;;;;Frank G.;Sergius
305;1.4303;0.65;;-0.02;0.02;N17701;;;101;;2R;;Press Teck S.p.A.;Press Teck S.p.A.;;;;;0;;;;;;;;;;;;;0;0;0;1107;0;0;0;0;0;0;0;0;;;;1;184.5;;;;spot biz;;;;0;0;0;0;0;0;;;;;;Frank G.;Sergius
;1.4303;0.65;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;14328;0;0;25485;10225;10000;0;6000;22000;0;0;0;;;;;7618.333333;;;;38000;36;0;0;0;0;0;18;0;0;;;;;;;
305;1.4303;0.7;N5457;-0.04;0;N5457;;;69;;2R;;Press Teck S.p.A.;Press Teck S.p.A.;;;;0;0;;;;;;;;;;;;;0;0;0;1726;0;3000;0;0;0;0;0;0;;;;2;2363;;;;3000;0;;;0;0;0;0;0;0;;;;;;Frank G.;Sergius
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
316L;1.4404;0.5;N8577;-0.02;0.02;N15791;350;400;57;;2H;;Stroud Metal;Stroud Metal;;;;0;0;;;;;;;;;;;;;4177;0;0;0;0;3000;0;2500;3000;3000;0;0;;;;1;500;;;;;;;;0;0;0;0;0;;;;;;;James;Livio
316L;1.4404;0.5;;-0.014;0.014;N8577;360;400;57;;2H;;Ve-Ca Srl;Ve-Ca Srl;;;;;0;;;;;;;;;;;;;0;0;0;0;0;25000;0;15000;15000;0;0;0;;;;1;4166.666667;;;;stll in clarification;;;;0;0;0;0;0;;;;;;;Frank G.;Sergius
;1.4404;0.5;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;4177;0;0;0;0;28000;0;17500;18000;3000;0;0;;;;;4666.666667;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
316L;1.4404;0.508;N16292;-0.014;0.014;N16292;360;400;1219.2;;2H;;Rolled Metal Products;Rolled Metal Products;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;;0;;;0;0;0;0;0;0;;;;;;James;Jessica
316L;1.4404;0.8;N17473(-0.02/+0.02);-0.05;0.05;N17473;1000;1200;600;;2H;;Allied Copper Alloys Ltd;Allied Copper Alloys Ltd;;;;0;0;;;;;;;;;;;;;0;0;3779;0;0;0;0;0;0;0;0;0;;;;1;629.8333333;;;;;;;;0;0;0;0;0;;;;;;;James;Livio
316L;1.4404;0.8;;-0.02;0.02;N17150;800;1000;187.5;;2H;;ESG EDELSTAHL SCHNEIDSERVICE GMBH;ESG EDELSTAHL SCHNEIDSERVICE GMBH;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;;;;;0;0;0;0;0;;;;;;;Dejan;Margarita
;1.4404;0.8;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3779;0;0;0;0;0;0;0;0;0;;;;;629.8333333;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304(NI9%);1.4301(NI9%);0.63;N16288;-0.025;0.025;N16288;;;43;;2R;;HUBERT STUEKEN GMBH & CO. KG;Hubert Stueken GmbH & Co. KG;;;;0;0;;;;;;;;;;;;;0;0;2112;0;4099;0;0;6000;0;0;0;0;;;;2;3105.5;;;;5000;0;;;0;0;0;0;0;0;;;;;;Patrick;Christian
304(NI9%);1.4301(NI9%);0.75;N17565;-0.015;0.015;N17565;;;111;;2R;;HUBERT STUEKEN GMBH & CO. KG;Hubert Stueken GmbH & Co. KG;;;;0;0;;;;;;;;;;;;;0;0;0;1191;0;0;0;0;0;0;0;0;;;;1;1191;;;;in clarification;0;;;0;0;0;0;0;0;;;;;;Patrick;Christian
304(NI9%);1.4301(NI9%);0.8;N7027;-0.05;0;N6932;;;100;;2R;;Lear Corporation Czech Republic s.r;Maurice Ward (609);;;;0;0;;;;;;;;;;;;;2294;4492;3856;2642;0;0;5000;5000;5000;0;0;0;;;;4;2665;;;;0;;;;0;0;0;0;0;;;;;;;Michael;Jessica
304(NI9%);1.4301(NI9%);0.8;;-0.02;0.02;N7027;;;48;;2R;;Pieron GmbH;Pieron GmbH;;;;;;;;;;;;;;;;;;0;5535;0;5726;0;5000;0;0;5500;0;0;0;;;;3;2710.166667;;;;5000;;;;0;0;0;0;0;;;;;;;Patrick;Adrian
304(NI9%);1.4301(NI9%);0.8;;-0.032;0;N7353;;;35;;2R;;Mimeta AG;DSV Logistics S.A.;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;;;;;0;0;0;0;0;;;;;;;Patrick;Merlin
;1.4301(NI9%);0.8;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2294;10027;3856;8368;0;5000;5000;5000;10500;0;0;0;;;;;5375.166667;;;;5000;0;0;0;0;0;0;0;0;0;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301(HT1);1.431;0.65;N17632;0;0.04;N17632;1150;1300;25;;2H;;Steel Service;Mag. Prodotti Finiti Steel Service;;;;0;0;;;;;;;;;;;;;0;0;0;0;2785;2500;0;0;0;0;0;0;;;;2;2642.5;;;;spot biz;;;;0;0;0;0;0;0;;;;;;Frank G.;Sergius
301(HT1);1.431;0.7;N13830;-0.025;0.025;N13830;1200;1350;55;;2H;;Scherdel GmbH;Scherdel Logistik Zentrum;;;;0;0;;;;;;;;;;;;;5093;2093;2941;5210;0;0;5000;0;0;0;0;0;;;;4;3811;;;;15000;18;;;0;0;0;18;0;0;;;;;;Patrick;Sergius
301(HT1);1.431;0.7;N17475;-0.03;0.03;N17475;1000;1200;66.5;;2H;;Pieron GmbH;Pieron GmbH;;;;0;0;;;;;;;;;;;;;0;0;1459;193;0;0;0;0;0;0;0;0;;;;2;826;;;;5000;;;;0;0;0;0;0;0;;;;;;Patrick;Adrian
301(HT1);1.431;0.73;N13262;-0.015;0.015;N13262;380;430;80;;2H;;STAYSTRIP GROUP LTD.;STAYSTRIP GROUP LTD.;;;;0;0;;;;;;;;;;;;;0;4117;4527;0;0;4200;0;0;0;0;0;0;;;;3;4281.333333;;;;0;;;;0;0;0;0;0;0;;;;;;James;Livio
301(HT1);1.431;0.8;N6316(-0.025/+0);-0.025;0.025;N17180;1100;1250;76;;2H;;BAUMANN GMBH;BAUMANN GMBH;;;;0;0;;;;;;;;;;;;;0;7165;0;0;0;12000;0;12000;0;12000;12000;0;;;;2;3194.166667;;;;24000;18;;;0;0;0;18;0;;;;;;;Frank G.;Sergius
301(HT1);1.431;0.8;;-0.025;0.025;N4813;1100;1300;107;;2H;;Areco Industry AB;Joma AB;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;0;;;;0;0;0;0;0;;;;;;;Florian;Grace
301(HT1);1.431;0.8;;-0.025;0.025;N5761;1100;1300;52;;2H;;Areco Industry AB;Joma AB;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;0;;;;0;0;0;0;0;;;;;;;Florian;Grace
301(HT1);1.431;0.8;;-0.025;0.025;N6316;1100;1300;161;;2H;;Areco Industry AB;Joma AB;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;0;;;;0;0;0;0;0;;;;;;;Florian;Grace
301(HT1);1.431;0.8;;-0.032;0;N16690;750;850;15;;2R;;BJB GmbH & Co. KG;BJB GmbH & Co. KG;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;still in clarification;;;;0;0;0;0;0;0;;;;;;Frank G.;Merlin
;1.431;0.8;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7165;0;0;0;12000;0;12000;0;12000;12000;0;;;;;3194.166667;;;;24000;18;0;0;0;0;0;18;0;0;;;;;;;
301(HT1);1.431;0.9;N8550;-0.03;0.03;N8550;1150;1300;34.8;;2R;;Scherdel Logistik Zentrum;;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;demand placed at competitor;0;;;0;0;0;0;0;0;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301(HT3);1.431;0.3;N16407;-0.02;0.02;N16407;;;10;;2H;;BJB GmbH & Co. KG;BJB GmbH & Co. KG;;;;0;0;;;;;;;;;;;;;7336;0;0;8220;7550;3000;4000;4000;0;0;0;0;;;;4;3795;;;;can be annealed in BA line;;;;0;0;0;0;0;;;;;;;Frank G.;Merlin
301(HT3);1.431;0.3;;-0.02;0.02;N6696;;;10;;2H;;BJB GmbH & Co. KG;BJB GmbH & Co. KG;;;;;0;;;;;;;;;;;;;3449;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;can be annealed in BA line;;;;0;0;0;0;0;;;;;;;Frank G.;Merlin
;1.431;0.3;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;10785;0;0;8220;7550;3000;4000;4000;0;0;0;0;;;;;3795;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
